종목명,날짜,전체평점,평점,제목,장점,단점,이직이유
엘오티베큠,2021.06.21,3.2,3.0,“일은 죽어라 하는데 도움을 안주는 회사”,"1. 신사옥 이전 후 청결해짐
2. 회사 내부 카페 운영으로 발전됨.","1. 문제점 다들 인지하고 있는데 그냥 방관
2. 일들 안하는 고인물들이 너무 많음",
엘오티베큠,2021.06.21,3.2,3.0,“회사 복지는 나쁮 않은편”,자유로운 휴가사용과 복지등 회장님마인드가 직원들 챙겨주려 노력함,주먹구구식으로 일을 하여 위에서 하라하면 무조건 해야하는 구조,
엘오티베큠,2021.06.15,3.2,3.0,“괜찮은 회사”,"건물이 깨끗하다
연차 사용이 자유로워서 눈치 안보고 쓸 수 있음","접근성이 좋지 않음
체계가 없어서 사람을 갈아넣어서 일하는 경우가 많음",
엘오티베큠,2021.06.14,3.2,2.0,“휴가 사용 및 야근 안하는 부서가 많지만 발전은 글쎄”,"휴가 사용 자유에 가깝, 생산직 제외 야근 지양하는 분위기","고인물 많고 잡일이 많음 설계자는 이것저것 잡일 다 함
팀바팀이지만 1명이 보통 1인분 업무 이상을 담당하게 되어 업무 부담으로 스트레스 높음",
엘오티베큠,2021.06.14,3.2,2.0,“워라밸이 어느정도 보장되지만 커리어 씹망”,"1. 야근수당 별도
-> 야근 안시키려고 퇴근시킴, 야근한다 해도 돈줘서 참음

2. 사람 절대 안자름, 장기 근속 가능

3. 시설 깨끗하고 밥 양호","1. 설계 커리어 절대 못쌓음
-> 파트 옴기고 보고서 쓰다가 시간 다감
-> 뇌피셜로 디자인하고 원하는 값 나올때까지 테스트 반복

2. 업무 체계를 안지킴
-> 대충하고 떠넘기는 식 일처리

3. 부서, 담당자별로 업무 편차 심함",
엘오티베큠,2021.06.14,3.2,2.0,“주먹구구식 회사”,"사옥이 신설이라 업무환경이 좋음
근로기준법을 잘 준수함","일에 비해 급여가 낮음
부서별 업무 편차 심함
주먹구구식 문제해결 존재",
엘오티베큠,2021.06.13,3.2,4.0,“국내 건식펌프 1등 회사”,워라벨이 가장 좋고 커리어에 도움이되는 회사 입니다. 굳!,"부서바이부서지만 워라벨이 빡셀수있다고 생각합니다
그게단점",
엘오티베큠,2021.06.03,3.2,2.0,“밥벌이하기에는 괜찮음”,"근속기간이 길다.
눈감고, 귀닫고 생각을 비우고 오래도록 밥벌이만 할 수 있음

부바부긴 한데, 퇴근 및 휴가사용이 자유로운 편이라고 생각됨.","근속기간이 길다.
고인물이 많고, 대가리를 하고 있기 때문에 대가리들에게 큰 기대를 바라기 어려움.
돈에 민감한 편이고, 임금이 낮다고 생각됨
외부고객과 내부고객이 많아， 그들의 입맛에 맞는 자료 작성이 까다로움",
엘오티베큠,2021.05.11,3.2,5.0,“개인적인 커리어 개발에 도움이 되고 회사가 성장하고자 노력함”,"회사가 현재 많은 매출을 기대하고 있으며 2019년 통합사옥이후 많은 발전을 꾀하려하고 있음
급여와 성과금이 부족해보이며 올해는 많은 사람들이 급성장한 매출 및 영업이익으로 인해 많은 성과금을 기대하고 있다.(야근 수당 별도)
2019년 통합사옥으로 복지시설이 좋으나 불행히 코로나상황으로 많이 제한되고있음",더 큰 성장과 개발을 위해 임직원 급여 수준을 지금보다 조금만 더 높일 필요가 있습니다.,
엘오티베큠,2021.05.05,3.2,5.0,“급성장하는 모습과 노력이 보임”,회사가 발전하고자하는 모습과 노력이 보입니다. 그리고 인력양성을 위해 노력하고자 합니다.,글쎄요 아직까지는 모르겠습니다. 한가지 꼽으면 급식이 좀 부족해보입니다.,..............................
엘오티베큠,2021.04.15,3.2,2.0,“갈수록 퇴보중”,부바부이긴한데 전체적으로 워라밸은 나쁘지 않습니다. 근무환경도 괜찮은 편,모든팀이 한 명 눈치보느라 회사가 제대로된 방향으로 못감. 외부 나가는 자료보다 내부 보고 회의 자료에 훨씬 더 신경쓰고 회의를 위한 회의를 위한 회의를 하는 회사,
엘오티베큠,2021.04.13,3.2,4.0,“워라벨만큼은 외국계 부럽지않다”,"부바부지만 워라밸정착을위해 회사에서 부단한노력을하고있음.
매출액의 20프로는 무조건 성과급지급
국내 1위 기업 경쟁사없음
오너의 비전을 믿고 따라갈만함
신사옥이전으로 쾌적하고 깨끗한건물","초봉은 평균이상이나 직급별 연봉이 낮은편 차장부터 연봉상승률이높음
통합부지로 이전하면서 시스템적으로 자리잡아가고있으나 아직 시간이 필요함.

고인물들이 부서마다 있음",
엘오티베큠,2021.04.05,3.2,4.0,“나름 나쁘지 않은 회사”,"워라벨 보장
연차 사용에 있어 자유로움
업무 많아서 스킬적으로 많이 배움","중견된지 얼마 안되서 체계가 없음
업무강도에 비해 급여가 낮다고 생각될 수도 있음(하지만 업계에선 꽤 주는 축에 속함)",
엘오티베큠,2021.03.25,3.2,3.0,“부서별편차가심한회사”,점점갈수록 좋다는걸못느끼고 의미없이 시간만가는반복됨이장점임,말로는 워라벨이지만 기본적으로 워라벨은 몇몇부서에국한됨,
엘오티베큠,2021.03.13,3.2,3.0,“성장해가는 회사”,"회장님 마인드 괜찮음(영업이익 10% 뿌림)
자유로운 탄력/시차근무제, 휴가
눈치 많이 안 봐도 되는 분위기
학사로 연구직 가능->테스트/인증/신제품 개발 프로젝트 등 이직 포트폴리오로 유용할 듯
회사 규모, 매출 꽤 빠르게 성장 중
다양한 사외 사내 직무/어학 교육 자유롭게 무료로 들을 수 있음
야근 대부분 없음
정 많은 회사라 잘릴 걱정 없음
*부바부","급성장으로 인해 업무체계/프로세스/시스템 등이 부족함(체계 잡으려고 프로젝트 중)
연봉 많지 않음
연구소 수준 높진 않음(연구소 학벌 슬슬 올리려고 하는 중인듯)",
엘오티베큠,2021.03.11,3.2,3.0,“워라벨이 보증되는 회사”,"연말 보너스 있음
카드 발행해줘서 출입 자유롭게 가능
근무복 제공","책임회피 심함
배우려는 사람은 혼자 일 다하게됨
직원들에게 별 관심없음",
엘오티베큠,2021.02.26,3.2,3.0,“쏘쏘한 회사”,"지속적 성장하고있는 회사, 회사가 할수있는 만큼 직원들에게 임금 복지 등 개선시켜주려는 노력 있음","기술력이 부족하고, 허술한 시스템으로 일하기가 힘들다.",
엘오티베큠,2021.02.19,3.2,2.0,“발전이 없는 회사”,"마음껏 연차 사용 가는해요...
탄력근무제 시행합니다...","문제가 생기면 숨기기만 하고 해결이 안됨
포장만 잘된 보고서만 만들고 실질적인 도움이 안됨
책임 회피만 한다
적극적으로 일을 하면 그 사람만 일한다
윗사람 지시에 휘둘리기만 한다
기타등등...나머진 생략",
엘오티베큠,2020.12.31,3.2,5.0,“직원을 위한 복지 및 조직문화가 월등히 개선되는 중~”,워라벨을 강조하고 회사에서 불필요한 오티없애려하고 눈치보지않고 휴가갈수 있게 문화로 정착되는것.,무임승차 임.직원 들로 인한 사기저하 및 열정감소하게 만든는 부분,
엘오티베큠,2020.12.29,3.2,3.0,“워라벨이 보장되는 회사”,"사내 복지가 너무 좋으며,
신사옥이라 건물이 깨끗합니다.",시스템이 잘 되어 있지 않아 그 부분이 아쉽습니다...,
엘오티베큠,2020.12.25,3.2,4.0,"“워라벨 굿, 커리어 향상 배드”","워라벨 좋다(여직원들이 다니기 좋음)
근무환경 좋다(신사옥 삐까뻔쩍 잘만듬, 사내 오락실 헬스장 까페 있음)","커리어향상(인맥확장, 더 큰물의 세상을 보는 그런)에는 한계가 있음
자차없이는 출퇴근 좀 불편함(오산 세마역쪽)",
엘오티베큠,2020.12.21,3.2,5.0,“중소같은 중견기업”,직원 복지와 급여수준을 동종 수준으로 높여 만족감 있음,사내정치가 심하고 능력에 따른 승진보다는 줄을 잘서야함,
미코,2022.06.16,2.9,1.0,“회사가 운영되고 지속되는게 의심스러움”,하루에 담배피러 수백번 펴도 뭐라안함. 본인들한테 피해만 안주면 무슨짓을 해도되는 곳,임원을 위한 보여주기식을 위한 업무를 위해 희생필요하다,
미코,2022.09.04,2.9,3.0,“개개인의 능력평가가 안되는 회사”,"굉장히 자유로움, 뭐든 할 수 있음, 뭔가 하려고 노력은 하는 중","업무 분업이 안되어 있어서 고생하는 부서만 고생함
문제가 많은데 고쳐나가기보단 덮어나가려고 함",
미코,2022.08.24,2.9,2.0,“자신이 하는일에 의구심을 가지지 않고 평생 여기만 다닐것이라고 생각하면 추천 그만큼 하는일이 자신을개발하고 도움되는 일들은 아님 또한 일이 분업이 잘 안되어서 일하는 부서만 계속 일하는 분위기”,"1.청년내일체움공제
2. 아침 점심 저녁 식사 제공
3. 기숙사 제공(전기세,관리비별도)
4. 교통비지원","1.부서마다 다르지만 매일 야근 +포괄임금제
2.딱딱한 군대문화 +젊은 꼰대
3.가끔의 주말출근
4.자유롭지 못한 연가(부서마다 다를 수 있음)
5. 안좋은 시설의 기숙사 +2인1실
6. 나쁜 교통시설과 시골 (차없으면 다니기힘듭니다)",
미코,2022.08.13,2.9,3.0,“전회장+이대표 없으면 어떻게 돌아갈지 걱정되는 회사”,"회장+대표이사 마인드가 개방적이라 좋음. 아래 사람 존중도 잘 해주고, 회사 운영도 깔끔하게 하고자 노력함.","중간관리자 및 구성원들 수준이 낮음. 무능력하고 가오만 잡거나, 자기 세계 안에 갇혀서 주변 사람들 다 떠나갈 맘 먹게하는 임원들을 물갈이 하면 앞으로 더 크고 좋은 회사가 될 것같음. 아래사람이 윗사람 평가하는 시스템을 갖추고, 퇴사자들이 왜 나갔을까에 대해 이대표가 한번쯤 심각하게 고려해봤으면 좋겠음. 개인적으로 대림건설 물갈이를 참고해보시면 좋을 것같음.",
미코,2022.08.05,2.9,4.0,“중소와 중견 어디 그 사이”,사람들과의 관계가 좋고 서로 성격적으로 모난 사람은 없다고 생각합니다. 그러나 업무적으로 힘들게 하는 사람은 있는것 같습니다,보고체계가 많고 입맛의 맞는 보고를 해야 좋아합니다. 나의 상사는 나를 지켜주지 않는다 라는 느낌이 강하여서 알아서 잘 살아남아야 합니다,
미코,2022.07.25,2.9,2.0,“좋은 제도 따라는 하려고 하나...능력 없는 임원만 줄여도”,하루 세끼(샐러드 및 간편식도). 통근버스 운행. 월1회 조기퇴근.일 안하는 사람도 월급 늦지않게 잘 줌,"임원 역할이 무엇인지 모름. 아래에서 봤을때 결정안하고 아래 팀장 혹은 파트장한테 미룸 유관부서와도 조율도 안하려고함.
돈 버는 사업부보다 돈 쓰는 지원부서가 갑. 지원부서 역할을 제대로 못함 정말이지 능력ㅎㅎ
근데 안 짜르고 고인물 계속 놨두고 있는듯.
전반적으로 임원 많으며 한결같게 일 안함(놀고 웟사람 한테 잘보이면 임원할수 있다고 자랑하는듯.)",
미코,2022.07.20,2.9,3.0,“그냥 다닐만 한 회사”,"워라밸 좋은편임
좋은 사람들 많음
커리어로써 야망이 높지 않다면 무난하게 다닐 수 있음
밥 세끼 다줌","보고식 업무가 많음
중요하지 않은 일에 투자를 많이함
주차장 협소
휴게 공간 없음
위치가 안성임",
미코,2022.07.07,2.9,3.0,“다닐만 한 회사”,사무직은 별 생각없이 다니긴 좋음. 회사에서 하루 세끼 다 나오고 칼퇴함. 칼퇴는 뭐... 부서마다 조금씩 차이는 있겠지만 대체로 다 칼퇴함. 업무 강도는 평균인거같음,급여가 다른 곳보다는 적다느낌. 그리고 하루 세끼는 준다만 맛있지않음,
미코,2022.06.24,2.9,2.0,“발전가능성에 대한 의문”,"밥 잘나옴
월급 안밀림
무난한 복지 혜택
통근버스 있음","업무양에 비해 직원수가 적음
(부바부)
발전가능성에 대한 의문",
미코,2022.06.19,2.9,3.0,“다닐 만한 회사”,워라밸 보장됩니다 추가근무 없이 퇴근시간 잘 지켜지는 것,"전체적으로 딱딱하고, 수직적인 듯한 분위기가 느껴집니다",
미코,2022.06.17,2.9,3.0,“커리어 쌓기는 좋은 회사”,"워라밸이 보장 되어있음 자유로운 연차활용 가능
이직을 위한 커리어 쌓기에는 좋음",급여가 적고 사업자체가 매출대비 순이익이 발생하기 힘든구조 구조개선 하지 않는이상 악순환은 계속될것,
미코,2022.06.12,2.9,3.0,“워라벨 보장 그 외 초전박살”,"동종업계대비 괜찮은 급여
극강한 워라벨
일과 성장에 대한 욕심 없이 다니기 좋은 회사","체계 미흡, 커리업 불가(부바부), 주먹구구식, 역피라미드 구조",
미코,2022.06.01,2.9,4.0,“열심히 하는 회사”,모든 영역에서 나아지려고 하는 것이 보인다. 안주하려는 문화는 아님.,상급자 레벨에서 일어나는 일들이 실무자에게 많은 영향을 준다.,
미코,2022.05.31,2.9,3.0,“신입이 다니기 좋은 회사”,"낮지 않은 연봉으로 일배우며 나니기 좋은 회사인거같습니다
밥도 괜찮고 사람들도 괜찮습니다","포괄 임금제이기때문에 인센은 낮은걸로 들었고
사내대출이 안되는걸로 알고있습니다",
미코,2022.05.16,2.9,3.0,“아무생각없이 다니기 좋은회사”,"중소기업치고 괜찮은 연봉, 내일 채움공제 , 기숙사, 밥 3끼 다줌","일하는 사람만 일함, 이상한 업무배정 방식, 가끔 꼰대가 있음",
미코,2022.04.19,2.9,5.0,“사무직은 근무환경 좋습니다”,"워라벨, 직원복지를 위한 노력이보임, 회사에서 이것저것 선물을 잘 챙겨주려고 함.",위치적 단점(안성)이기 때문에 수도권이지만 교통이 좋지않음,
미코,2022.04.05,2.9,2.0,“그냥저냥 다니는 회사”,"잡플래닛의 그 장점 그대로임.
중소치고 연봉 준수함
기숙사 제공 (3년)
공짜밥
반도체계열이라 경력 쌓아 이직하기 좋음
20~30대 비중 높음","워라벨은 부바부
10년 동안 직원 수는 늘어났지만 주차공간 그대로임
2~3년차가 되면 이직하느라 신입 아니면 고인물들뿐
직급 없애고 흡연장도 없애는 등 삼성 문화를 따라하는데 왜 그러는지 잘 모르겠음
눈 오면 삽 들고 눈 치워야 함



미코파워 안 다니지만 소문 듣기론 미코 그룹 계열의 아오지탄광이라던데",
미코,2022.03.28,2.9,1.0,“무한잔업이 보장되는 회사”,"아침 점심 저녁 세끼 다나온다
하루종일 일해서 시간은 잘간다","삼시세끼 다나오지만 식사퀄리티는 좋지 못하다
워라밸이 없다",
미코,2022.03.26,2.9,3.0,“안정적 급여 짤릴일 없는 회사”,"동탄으로 이전하면서 인프라가 좋아졌다
급여 밀릴일이 없다","경영진 의사로 많은것이 좌지우지됨
직급이 없어서 애매모호함",
미코,2022.03.21,2.9,3.0,“워라벨 스스로 챙겨야하는 회사”,"중소임에 비해 높은 초봉. 복지가 잘 되어있음.
개선하고자하는 의지는 보임.","부바부 심함. 업무가 편중됨.
경영진들이 개선방향을 잘못잡음.
워라벨은 스스로 챙겨야함.",
미코,2022.03.19,2.9,2.0,“부서마다 워라밸 다름”,"자율복장으로 매우 편함, 자유로운 연차 사용, 조식 중식 석식 지원","부서마다 워라밸차이 심함, 인사평가 체계가 제대로 평가되지 못함",
미코,2022.02.28,2.9,3.0,“부서마다 천차만별”,"기본적인 복지는 다 있음
법에서 권고하는 건 다 지켜줌
연차, 육아휴직 편하게 쓰게 해줌
워라벨 괜찮음","회사의 정체성이 뭔지 모르겠다. 비전도 없고...
미코그룹 지주회사인지, 하부전극 제조업체인지, 소재전문 회사인지... 이도 저도 아닌 느낌
회의는 더럽게 많고 만들어야 할 자료도 쓸데없이 많음...
코미코나 미코세라믹스 같은 자회사들이 잘 나가서 망하진 않을 듯",
미코,2022.01.25,2.9,3.0,“미코는괜찮은기업~~”,"아침점심저녁식사걱정없음, 기숙사 제공, 셔틀버스있어요!~~","계열사마다다른업무문화, 업무강도, 퇴근시간!~~~~~~미코계열사마다차이가있음.",
미코,2021.12.17,2.9,2.0,“잘모르겠다”,"좋은 사람들을 많이 만날 수 있다.
분위기가 적당하다
밥을 잘 준다(세끼 보장)","좋은 기업인지 잘 모르겠다
업무 과부하가 너무 심하다
부하직원과 관리자와의 소통이 불가능하다",
미코,2021.12.16,2.9,2.0,“부서만 잘들어가면 개꿀”,"52시간 자율적으로 함 안하고싶으면 안해도됨
밥 세끼 꼬박꼬박잘줌","사람 드럽게 안뽑아줌 월급 박봉
쓸모없는 인력이 너무 많음",
미코,2021.12.12,2.9,3.0,“워라밸은 부바부”,"아침 점심 저녁 헬스장 간식 칼퇴 기숙사(월 30만원 지급으로 바뀜??)
복장편함, 야근분위기 없음","이사진들 입맛에 맞게 하다보니 잔업이 계속늘어남
인원에 비해 일이 많은편",
미코,2021.11.09,2.9,3.0,“워라벨을 위해 노력”,"워라벨을 하려고 노력중인것 같음
직원들간 유대관계가 좋음
출퇴근 버스 운영
사내 식당 운영","대중교통이 좋지 않음
몇 명에 의한 회사 운영(?)
비전문가 몇명이 전문영역까지 컨트롤",
미코,2021.10.26,2.9,2.0,“고인물이 되고싶다면 추천할 회사”,"대기업의 복지를 따라갈려고 하는 점
고인물에 대한 대우가 괜찮다는 점
매달 회사에서 주식을 사준다는점?",기술을 배운다는 생각은 버려야하고 업무 난이도는 부바부가 좀 심하지만 현장직은 다 빡침 고인물이 생각보다 많으며 다들 애사심이 너무 높음 그리고 가장 중요한게 매일 잔업을 하지만 급여가 너무 짬 ㄹㅇ,
미코,2021.10.12,2.9,3.0,“나름 복지 잘 챙겨주는 회사”,"주차장이 있다
삼시세끼 밥준다
중소기업치고 급여 많이 준다","뭐 어느회사나 마찬가지겠지만 일하는놈만 하고 안하는 놈은 안함
체계가 없다",
미코,2021.10.05,2.9,1.0,“초봉은 높으나 워라밸은 부바부”,"기숙사와 식사 제공으로 숙식 해결
신입의 경우 업무를 접해볼 수 있고, 중견기업 중에 초봉은 높은편","잦은 야근으로 인해 워라밸 보장 안 됨
무능력한 경영진들과 일 하는 어려움
전문성 없는 상사들이 많아 업무 배우기가 힘듬
옛날 기업문화와 잦은 회식",구시대적인 사고를 가진 경영진들과 기업문화가 너무 싫었고 전문성 없는 상사 밑에서 업무도 제대로 배우지 못 한 채 시간낭비하는 기분이 들었음
미코,2021.09.24,2.9,4.0,“워라밸 정착 가능”,"난 아니지만 남들은 워라밸을 아주 잘 누림
인센비율 늘어가고 있는중","난 워라밸을 못 누림
일반적인 업무욕심으로는 업무역량 향상이 쉽지 않으니 열심히 찾아서 스스로 배워야함",
미코,2021.09.03,2.9,3.0,“중소기업치곤 높은 초봉”,삼시세끼를 복지로 제공해주고 기숙사도 제공해 줍니다 셔틀버스가 있습니다,"거친 업무환경, 몇몇 상사분이 거친면리 있습니다. 스타트업 같은 상황이라 미지의 부분이 많습니다",
미코,2021.07.26,2.9,5.0,“곧 대기업”,"미코에서 근무했던 기간이 짧아서 장점은...
그냥 코스닥 법인?","미코 계열사에서 근무했기에 워라벨이 심각하게 안좋았어요
근데 이건 캐바캐강있을듯","전문연구요원 만료
극악의 나인투텐근무
공장및 사옥 이전"
미코,2021.07.25,2.9,3.0,“워라벨이 좋은 회사”,"자유롭고, 삼시세끼 주는 것이 좋은 회사입니다.
성장가능성이 무궁 무진 합니다.",실무자대비 임원이 많아 업무가 아래사람에게 과중됩니다.,
미코,2021.06.25,2.9,3.0,“워라벨이 보장되는 회사”,"조중석식 무료
기숙사 및 셔틀버스 지원
안정적이며 회사가 점점 커지고있어 발전가능성 있음(물론 계열사 코미코)","적은 성과금
발전가능성 낮음
부바부지만 전체를 관리해야함
사라진 직급체계로 연봉이 전체적으로 하향평준화되며 이로인해 인사팀은 상받음
안주하기 딱좋아 방심하면 도태될 수 있음",
미코,2021.06.09,2.9,5.0,“워라벨 아주 좋음”,중소기업 이상의 연봉 및 9 to 6 를 아주 철저히 지키는 워라벨,엄청나게 늘어난 임원의 수와 아주 짠 성과금 때문에 별로,
미코,2021.05.09,2.9,3.0,“..”,"나름 편안한분위기 아직은 괜찮음
그래도 회사에서 3식 다준다는게 장점","정치질에 눈치봐야되는 곳
워라밸따위는 저멀리..
기본급이 적다",
미코,2021.05.06,2.9,2.0,“(미코파워)급여는 적당히 많은데 근무시간에 비한다면 좀......”,"밥 공짜로 주고, 기숙사(2인실)가 있다.
젊은 인력이 많아서 서로 성격이 맞는 사람들이 많이 생길 수 있다.","관리자로 있는 분들의 능력향상이 시급하다.
관리자의 직책을 한다고 하고 있지만, 현실은 오래 버텨서 관리자가 된 사람들이 많기 때문에 상당수 관리자들의 능력향상이 시급하다.

장비회사로서 지녀야할 양산라인 및 자동화 규격화에 대한 이해도가 낮은 사람들이 많아서 많은 작업이 수작업으로 진행되고, 노동력에 비해 비효율적인 방식으로 만들어진다.
덕분에 상당수 직원들의 워라밸이 보장이 잘 되지 않는다.
오래 다닌 사람들은 전보다 나아졌다고는 하지만, 그 전보다가 언제인지 모르는 사람들에게는 현재도 충분히 힘든 회사입니다.",
미코,2021.04.14,2.9,4.0,“좋아요..”,좋은 사람들..직원을 위한 복지..회사의 성장 가능은 높다고 생각 합니다.,"신사업 투자가 많고, 잘 안되면 회사 전체가 힘들어져요..

지방이라고 사람이 뽑히지 않아요..",
미코,2021.04.09,2.9,4.0,“가능성이 있는 회사”,"복지
급식이 맛있다.
기숙사 제공
안성에 위치하여 돈 쓸일이 없다","너무 외진곳에 위치하고 있다.
임원들이 너무 많음
텃세가 있음",
미코,2021.03.11,2.9,3.0,“임원이 너무 많은 회사”,"꽤 괜찮은 신입 연봉
밥 3끼가나옴
팀별 업무량 차이가큼","불필요한 페이퍼워크
많은 임원들의 자기 밥그릇 싸움 ..",
미코,2021.02.18,2.9,4.0,“임원을 위한 회사”,"야근이 거의 없다

아점저 3끼를 다 준다
(야식도 준다는데 먹어본적 없어서 부정확)

기숙사 살면 돈 나갈 일이 없다

통근버스 잘 되어있다
(18 19 1930 20 21시 퇴근 가능)","사원보다 임원이 더 많다

비합리적 의사결정 부터 폭언, 인격모독 등 임원으로부터 시작되는 부조리 다수 있음",
미코,2021.02.03,2.9,3.0,“초봉 높음 ”,중소에 가까운 중견이지만 최소한의 복지는 잘 갖추어져 있음,포괄임금제로 야근해도 돈이 안나오고 고인물들이 일부 일음,
미코,2021.01.24,2.9,4.0,"“신규투자에 열정적인 회사, 적극저인 연구개발투자로 신제품 양산이 필요한 시점”","3시 세끼 제공, 내일채움공제, 기숙사 제공, 업무강도 평이함, 신규 투자 제품이나 과제가 성공적이라면 기업도 한 단계 더 클 것 같다.","성과금이 적다, 모든것이 적당해서 문제, 중구난방 투자보다는 보다 확실한 곳으로 방향성 있는 투자 개발이 필요함",
미코,2021.01.21,2.9,1.0,“미코파워는 피해야됨”,"밥이 4끼나 나온다. 왜 4끼?
아침, 점심, 저녁, 00시 많이도 나온다.","이건 미코 이야기가 아니라 미코파워 이야기 입니다.

1. 근무시간
간담회에서 그런 말이 있었다. 통근버스 막차 시간이 10시인가 11시인가 그 전에만 끝내달라고 버스는 다녀야 숙소 들어가지 않나고 한마디로 근무시간은 우리나라 상위 5% 안에 들어갈거같다.

2. 직원 평균 나이
미코파워 입사하면 가장 놀라운게 80%가 20대 아무것도 모르는 신입니다. 참 안스러운게 보통 회사가 이런 줄 알고있다는 사실이 마음아프다. 그래도 입사하고 3개월 안에 다들 탈출하니 다행이라고 생각한다.

3. 발전 가능성?
수소연료전지 발전 가능할거 같은가? 꿈도 꾸지마라고 말하고 싶다. 미코파워 연료전지는 발전용이다. 자동차 보다 큰데 무슨 차량용으로 사용할 수 있다고 말하는가 생각 좀 하고 말하자.
그리고 경영진은 안다고 생각하는데 원가분석해보면 수익성이 없다. 수익이 나오려면 대량생산이 가능해야 하는데 수작업이 엄청 많다. 자동화도 못하는 제품을...이건 주주 기만이다.

그럼 제품은 잘만들어 졌는가?
전국에 설치된 곳이 몇개있지도 않는데 맨날 경고가 뜬다. 수리팀이 홍길동이다.

미코파워에 대해서 결론을 내리겠다.
아무것도 모르는 젊은 20대 신입사원들은 죽어가고 있다. 연료전지 분야에서 국내 최고라는 성장가능성을 바라보고 버틴다고 한다...하지만 경영진도 알거다. 기술력, 제품원가 낮추기, 수율높이기, 수익성 전혀없다. 미래성장 가능성 없으니 경영진은 물로 직원들은 하루빨리 퇴사해라.

그리고 영업팀이라고 있는데 제품도 제대로 안나오는데 무슨 영업이냐 정말 웃기고있다. 영업팀은 거꾸로 돌아가는 팀이다.",
미코,2021.01.12,2.9,1.0,“다시는 가고싶지 않은곳”,"월급 안말리는거 말고 없음
복지 있는듯 마는듯
생산직는 소모품","급여가 최저시급
환경 열약
체계없음
상여없음 연말성과 100%미만",
미코,2020.11.25,2.9,4.0,“워라밸은 보장”,"워라밸은 보장됩니다
근데 사업부문마다 다를 수는 있습니다","복지가 거의 없어요
얼굴을 볼수없는 임원들이 많아요..",
미코,2020.10.23,2.9,2.0,“그냥 보통인 회사”,"월급이 들어온다.
중견이라 나름 체계가 있음
밥 공짜 기숙사 공짜(2년인가 3년까지만)",기업문화가 상당히 수직적이고 군대보다 심한 그런게 있음,
미코,2020.10.13,2.9,4.0,“워라밸은 아주 좋습니다!”,전체적인 젊은 분위기. 하지만 역시나 월급 루팡은 존재. 그러나 부바부지만 워라밸 우수!!,"월급 루팡이 많다. 또한 일부 부서의 변화에 대한 거부감으로 쓸데없는 미팅, 보고가 많음",
미코,2020.09.18,2.9,3.0,“그럭저럭..팀별로 편차가 큼”,동료들과의 사내분위기는 좋은편이지만 상위직급의 기득권이 큰 편임,일부부서는 업무가 너무 없고 일부는 업무가 너무 많아 상대적 박탈감이 큼,
미코,2020.09.07,2.9,1.0,“꼰대들 때문에 경영이 산으로 가는 회사”,"3식 제공
괜찮은 초봉...
내채공 지원
딱히 없습니다... 특히 미코파워는 절대ㄴㄴ","장점빼고 전부다...
인당 매출액 보면 한숨나옴... 노는 직원들 너무 많아요
업무 불균형 심각
꼰대 상사들의 환상의 콜라보",
미코,2020.09.05,2.9,3.0,“바뀌려고 노력하는 회사”,"유망있는 사업분야, 반도체 부품 및 세정, 진단키트, 연료전지 등 반도체, 바이오, 친환경 에너지 등 유망 분야에 주로 투자","포괄임금제 밑에 숨겨진 업무 강도, 수많은 퇴사자를 바탕으로 이뤄진 성과, 단만 요즘은 바뀌려고 하는 게 보이나 현상을 얼마나 오래 유지할지가 관건",
캠시스,2022.07.17,2.6,1.0,“꼰대 회사”,월급을 받는다. 연차 자유롭게 사용. 구내식당이 있다.,"꼰대 세상 권위의식 쩜. 공정하지 않은 인사평가 및 직원채용.
일은 안하고 사내 정치질만함. 회사에 유리한 복지. 임직원들 인성 안좋음. 임원팀장 능력이나 자질이 부족해 보임. 배울께 없음.",
캠시스,2022.09.06,2.6,3.0,“워라벨만 좋은 회사”,"연차 자율적인 분위기에서 다 소진가능, 주차장에 주차가능, 수평적인 조직문화","월급을 최소한으로 줌, 거래처가 많지 않음, 회사 복지 없음",
캠시스,2022.07.28,2.6,5.0,“워라벨좋음”,"직원들간 협럭이 잘됨, 점심 저녁 제공.
수평적구조라 눈치보는일이 별로없다.",연봉은 작은편이다. 카메라 모듈사업의 규모가 작아지기때문에 회사가 성장하는데 어려움이있는것같다.,
캠시스,2022.06.29,2.6,1.0,“오지마…”,"칼퇴가능
매점. 커피머신 등 소소한 직원복지
자유로운 연차사용","아래직원 방출시켜서 절감실적으로 삼는 윗직급
꼰대마인드 가득하면서 꼰대아닌척
자존감 하락하고 싶다면 입사추천
여기서 버틴다면 왠만한 회사는 프리패스 가능",
캠시스,2022.06.11,2.6,1.0,“돌아가...”,"정시퇴근 가능
아침, 점심 제공
월급 밀리지 않고 잘 나옴","공단에 회사 위치
성장가능성 매우 낮음
월급 매우 낮음",
캠시스,2022.05.04,2.6,4.0,“ 신규사업은 열심히 하고는 있으나 좋은 결과가 아직은 나오지 않아서 안타까움.”,"워라벨 보장 및 회사가 해줄 수 있는 복리후생 제도는 지속적으로 도입하려고 하는거 같음.
본인이 관심이 있고 적극적이면 다양한 업무경험 가능.
연봉은 대기업을 제외한 동종업계과 비교시 중급 이상인 거 같음.","신규사업에서 성공을 거둔 실적이 없어
회사 전체적인 수익의 성장을 못하다보니
메인 사업분야의 직원들이 불만이 큼.",
